Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0.0003125
0.125	0.000605538	0.00060552	1.85724e-008	0.000605501	0.000605501
0.1875	0.00119283	0.000880442	0.000312385	0.00119268	0.00119268
0.25	0.00174419	0.00113869	0.0006055	0.00174349	0.00174349
0.3125	0.00226239	0.00138159	0.000880799	0.00226053	0.00226053
0.375	0.0027501	0.00161047	0.00113963	0.00274628	0.00274628
0.4375	0.00320999	0.00182669	0.00138331	0.00320314	0.00320314
0.5	0.00364483	0.00203167	0.00161316	0.00363342	0.00363342
0.5625	0.00405744	0.0022269	0.00183055	0.0040394	0.0040394
0.625	0.00445082	0.00241396	0.00203686	0.00442331	0.00442331
0.6875	0.00482808	0.00259451	0.00223356	0.00478728	0.00478728
0.75	0.00519243	0.00277028	0.00242215	0.00513338	0.00513338
0.8125	0.00554725	0.00294306	0.00260419	0.0054636	0.0054636
0.875	0.00589596	0.00311467	0.00278129	0.00577984	0.00577984
0.9375	0.00624203	0.00328693	0.00295511	0.00608389	0.00608389
1	0.00658894	0.00346164	0.0031273	0.00637748	0.00637748
1.0625	0.0069401	0.00364057	0.00329953	0.00666225	0.00666225
1.125	0.00729881	0.00382537	0.00347344	0.00693976	0.00693976
1.1875	0.00766826	0.00401763	0.00365063	0.00721151	0.00721151
1.25	0.00805144	0.00421882	0.00383262	0.00747894	0.00747894
1.3125	0.00845119	0.00443034	0.00402085	0.00774346	0.00774346
1.375	0.00887018	0.00465348	0.0042167	0.00800642	0.00800642
1.4375	0.0093109	0.00488945	0.00442144	0.00826917	0.00826917
1.5	0.00977571	0.00513944	0.00463627	0.00853302	0.00853302
1.5625	0.0102669	0.00540456	0.00486233	0.00879928	0.00879928
1.625	0.0107866	0.00568594	0.00510069	0.00906928	0.00906928
1.6875	0.0113371	0.00598468	0.00535239	0.00934432	0.00934432
1.75	0.0119204	0.00630195	0.00561845	0.00962576	0.00962576
1.8125	0.0125388	0.00663892	0.00589987	0.00991497	0.00991497
1.875	0.0131945	0.00699686	0.00619768	0.0102134	0.0102134
1.9375	0.01389	0.0073771	0.00651295	0.0105224	0.0105224
2	0.0146279	0.0077811	0.00684675	0.0108436	0.0108436
2.0625	0.0154107	0.00821044	0.00720027	0.0111785	0.0111785
2.125	0.0162416	0.00866684	0.00757475	0.0115289	0.0115289
2.1875	0.0171237	0.0091522	0.00797154	0.0118966	0.0118966
2.25	0.0180607	0.00966862	0.00839209	0.0122834	0.0122834
2.3125	0.0190564	0.0102184	0.00883801	0.0126915	0.0126915
2.375	0.0201153	0.0108042	0.00931104	0.0131231	0.0131231
2.4375	0.021242	0.0114288	0.00981314	0.0135806	0.0135806
2.5	0.0224419	0.0120955	0.0103464	0.0140668	0.0140668
2.5625	0.023721	0.0128077	0.0109132	0.0145846	0.0145846
2.625	0.0250858	0.0135696	0.0115163	0.0151372	0.0151372
2.6875	0.0265438	0.0143855	0.0121583	0.0157283	0.0157283
2.75	0.0281033	0.0152605	0.0128428	0.0163618	0.0163618
2.8125	0.0297733	0.0162002	0.0135731	0.0170422	0.0170422
2.875	0.0315643	0.0172109	0.0143534	0.0177745	0.0177745
2.9375	0.0334879	0.0182998	0.0151881	0.0185644	0.0185644
3	0.0355571	0.0194748	0.0160823	0.0194183	0.0194183
3.0625	0.0377866	0.0207451	0.0170415	0.0203431	0.0203431
3.125	0.0401929	0.0221209	0.0180721	0.0213472	0.0213472
3.1875	0.0427947	0.0236137	0.019181	0.0224397	0.0224397
3.25	0.045613	0.0252369	0.0203762	0.0236311	0.0236311
3.3125	0.0486716	0.0270052	0.0216664	0.0249334	0.0249334
