Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0
0.125	0.000599003	0.000599003	0	0.000599003	0
0.1875	0.00117416	0.000861848	0.000312313	0.000861829	0.000312313
0.25	0.00170186	0.00110318	0.000598682	0.00110309	0.000598682
0.3125	0.00218645	0.00132498	0.000861469	0.00132474	0.000861451
0.375	0.00263198	0.00152915	0.00110283	0.00152861	0.00110274
0.4375	0.00304224	0.00171748	0.00132476	0.00171644	0.00132452
0.5	0.00342079	0.00189165	0.00152913	0.00188983	0.00152861
0.5625	0.00377101	0.00205329	0.00171773	0.00205031	0.00171673
0.625	0.00409609	0.00220389	0.0018922	0.00219928	0.00189047
0.6875	0.004399	0.00234487	0.00205413	0.00233806	0.00205132
0.75	0.00468252	0.00247754	0.00220498	0.00246784	0.00220067
0.8125	0.0049492	0.00260309	0.00234611	0.00258973	0.00233979
0.875	0.0052014	0.00272263	0.00247876	0.00270473	0.00246984
0.9375	0.00544126	0.00283716	0.0026041	0.00281375	0.00259188
1	0.00567072	0.00294755	0.00272317	0.0029176	0.00270688
1.0625	0.00589153	0.00305462	0.00283691	0.00301703	0.00281572
1.125	0.00610526	0.00315908	0.00294618	0.00311269	0.00291919
1.1875	0.0063133	0.00326156	0.00305174	0.00320517	0.00301798
1.25	0.0065169	0.00336264	0.00315426	0.00329502	0.00311273
1.3125	0.00671716	0.00346281	0.00325435	0.00338271	0.00320403
1.375	0.00691506	0.00356251	0.00335255	0.00346865	0.00329237
1.4375	0.00711149	0.00366215	0.00344934	0.00355325	0.0033782
1.5	0.0073072	0.00376207	0.00354514	0.00363684	0.00346195
1.5625	0.00750289	0.00386259	0.00364031	0.00371973	0.00354398
1.625	0.00769918	0.00396399	0.00373519	0.0038022	0.00362461
1.6875	0.0078966	0.00406653	0.00383007	0.00388453	0.00370414
1.75	0.00809567	0.00417044	0.00392523	0.00396693	0.00378283
1.8125	0.00829682	0.00427595	0.00402088	0.00404962	0.00386093
1.875	0.00850049	0.00438324	0.00411725	0.00413281	0.00393865
1.9375	0.00870703	0.00449252	0.00421452	0.00421668	0.0040162
2	0.00891682	0.00460396	0.00431286	0.00430141	0.00409375
2.0625	0.00913018	0.00471773	0.00441245	0.00438717	0.00417147
2.125	0.00934744	0.00483401	0.00451343	0.00447411	0.00424951
2.1875	0.0095689	0.00495297	0.00461593	0.00456238	0.00432803
2.25	0.00979486	0.00507477	0.0047201	0.00465215	0.00440714
2.3125	0.0100256	0.00519957	0.00482605	0.00474355	0.00448699
2.375	0.0102615	0.00532756	0.00493391	0.00483674	0.00456769
2.4375	0.0105027	0.00545891	0.0050438	0.00493186	0.00464935
2.5	0.0107496	0.0055938	0.00515584	0.00502906	0.0047321
2.5625	0.0110026	0.00573241	0.00527015	0.0051285	0.00481604
2.625	0.0112618	0.00587496	0.00538685	0.00523032	0.00490128
2.6875	0.0115277	0.00602165	0.00550606	0.0053347	0.00498793
2.75	0.0118006	0.00617269	0.0056279	0.00544179	0.00507609
2.8125	0.0120808	0.00632833	0.0057525	0.00555178	0.00516589
2.875	0.0123688	0.00648881	0.00588	0.00566486	0.00525742
2.9375	0.0126649	0.00665439	0.00601053	0.00578121	0.0053508
3	0.0129696	0.00682538	0.00614424	0.00590105	0.00544616
3.0625	0.0132833	0.00700205	0.00628128	0.0060246	0.00554361
3.125	0.0136066	0.00718476	0.00642181	0.0061521	0.00564329
3.1875	0.0139398	0.00737384	0.006566	0.0062838	0.00574531
3.25	0.0142837	0.00756969	0.00671403	0.00641997	0.00584983
3.3125	0.0146388	0.0077727	0.00686609	0.00656091	0.005957
3.375	0.0150057	0.00798333	0.00702238	0.00670693	0.00606696
3.4375	0.0153852	0.00820206	0.00718312	0.00685839	0.00617989
3.5	0.0157779	0.0084294	0.00734853	0.00701566	0.00629596
3.5625	0.0161848	0.00866593	0.00751887	0.00717913	0.00641536
3.625	0.0166067	0.00891227	0.0076944	0.00734926	0.00653829
3.6875	0.0170445	0.00916909	0.00787538	0.00752653	0.00666496
3.75	0.0174993	0.00943712	0.00806214	0.00771145	0.0067956
3.8125	0.0179721	0.00971717	0.00825497	0.00790462	0.00693046
3.875	0.0184644	0.0100101	0.00845424	0.00810666	0.00706981
3.9375	0.0189772	0.0103169	0.00866031	0.00831826	0.00721392
4	0.0195122	0.0106387	0.00887357	0.00854019	0.0073631
4.0625	0.0194581	0.0106701	0.00878805	0.00846576	0.00721015
4.125	0.0194101	0.0107061	0.00870398	0.00839679	0.00706208
4.1875	0.019368	0.0107467	0.00862128	0.00833327	0.00691872
4.25	0.0193321	0.0107923	0.00853985	0.00827522	0.00677989
4.3125	0.0193024	0.0108428	0.0084596	0.00822265	0.00664543
4.375	0.019279	0.0108986	0.00838046	0.00817561	0.00651519
4.4375	0.0192622	0.0109598	0.00830237	0.00813414	0.00638901
4.5	0.019252	0.0110268	0.00822525	0.00809833	0.00626676
4.5625	0.0192487	0.0110997	0.00814905	0.00806825	0.0061483
4.625	0.0192526	0.0111789	0.00807373	0.00804401	0.0060335
4.6875	0.019264	0.0112648	0.00799923	0.00802576	0.00592224
4.75	0.0192832	0.0113577	0.00792551	0.00801363	0.00581439
4.8125	0.0193106	0.0114581	0.00785254	0.00800781	0.00570984
4.875	0.0193466	0.0115663	0.00778028	0.0080085	0.00560849
4.9375	0.0193917	0.011683	0.0077087	0.00801594	0.00551025
5	0.0194464	0.0118086	0.00763778	0.0080304	0.005415
5.0625	0.0195113	0.0119439	0.00756748	0.00805219	0.00532267
