Time	a	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]	Adopters[eu,p1]	Adopters[eu,p2]	Adopters[sp,p1]	Adopters[sp,p2]	Adoption Fraction[eu,p1]	Adoption Fraction[eu,p2]	Adoption Fraction[sp,p1]	Adoption Fraction[sp,p2]	Adoption from Advertising[eu,p1]	Adoption from Advertising[eu,p2]	Adoption from Advertising[sp,p1]	Adoption from Advertising[sp,p2]	Adoption from Word of Mouth[eu,p1]	Adoption from Word of Mouth[eu,p2]	Adoption from Word of Mouth[sp,p1]	Adoption from Word of Mouth[sp,p2]	Adoption Rate[eu,p1]	Adoption Rate[eu,p2]	Adoption Rate[sp,p1]	Adoption Rate[sp,p2]	af ref	alpha	beta	c	Combined adopter fraction[eu]	Combined adopter fraction[sp]	Competitive Effort[p1]	Competitive Effort[p2]	Cumulative Adopters[eu,p1]	Cumulative Adopters[eu,p2]	Data per User[p1]	Data per User[p2]	Data Rate from Switchers[p1]	Data Rate from Switchers[p2]	Data REF	Discard Fraction[eu,p1]	Discard Fraction[eu,p2]	Discard Fraction[sp,p1]	Discard Fraction[sp,p2]	Discard Rate[eu,p1]	Discard Rate[eu,p2]	Discard Rate[sp,p1]	Discard Rate[sp,p2]	Expenses[p1]	Expenses[p2]	F0	FINAL TIME	gamma	gamma'	Indicated Switchers[eu,p1,p1]	Indicated Switchers[eu,p1,p2]	Indicated Switchers[eu,p2,p1]	Indicated Switchers[eu,p2,p2]	Indicated Switchers[sp,p1,p1]	Indicated Switchers[sp,p1,p2]	Indicated Switchers[sp,p2,p1]	Indicated Switchers[sp,p2,p2]	Initial Adopters	INITIAL TIME	M ref	MS Gap[eu,p1]	MS Gap[eu,p2]	N	p ref	Potential Adopters[eu]	Potential Adopters[sp]	Q0	qe	Quality[p1]	Quality[p2]	ra	re	Ref Data per User	Resource Accumulation[p1]	Resource Accumulation[p2]	Resource Depletion[p1,dres]	Resource Depletion[p1,fres]	Resource Depletion[p2,dres]	Resource Depletion[p2,fres]	Resources[p1,dres]	Resources[p1,fres]	Resources[p2,dres]	Resources[p2,fres]	SAVEPER	SWITCH DISCARDS	Switch Fraction[eu,p1,p1]	Switch Fraction[eu,p1,p2]	Switch Fraction[eu,p2,p1]	Switch Fraction[eu,p2,p2]	Switch Fraction[sp,p1,p1]	Switch Fraction[sp,p1,p2]	Switch Fraction[sp,p2,p1]	Switch Fraction[sp,p2,p2]	SWITCH FULL CE	SWITCH OPEN	SWITCH SP SWITCHERS	SWITCH USER DATA VALUE	Switcher Net Inflow[eu,p1,p1]	Switcher Net Inflow[eu,p1,p2]	Switcher Net Inflow[eu,p2,p1]	Switcher Net Inflow[eu,p2,p2]	Switcher Net Inflow[sp,p1,p1]	Switcher Net Inflow[sp,p1,p2]	Switcher Net Inflow[sp,p2,p1]	Switcher Net Inflow[sp,p2,p2]	Switchers[eu,p1,p1]	Switchers[eu,p1,p2]	Switchers[eu,p2,p1]	Switchers[eu,p2,p2]	Switchers[sp,p1,p1]	Switchers[sp,p1,p2]	Switchers[sp,p2,p1]	Switchers[sp,p2,p2]	Switching Rate[eu,p1]	Switching Rate[eu,p2]	Switching Rate[sp,p1]	Switching Rate[sp,p2]	T	T ref	T0[p1]	T0[p2]	tau	tau'	theta	TIME STEP	V ref	Value to Adopters[eu,p1,p1]	Value to Adopters[eu,p1,p2]	Value to Adopters[eu,p2,p1]	Value to Adopters[eu,p2,p2]	Value to Adopters[sp,p1,p1]	Value to Adopters[sp,p1,p2]	Value to Adopters[sp,p2,p1]	Value to Adopters[sp,p2,p2]	Value to Non Adopters[eu,p1]	Value to Non Adopters[eu,p2]	Value to Non Adopters[sp,p1]	Value to Non Adopters[sp,p2]
0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	5	0	5	0	0.5	0.7	4	5	0	0	1	1	0	0	0	0	0	0	250	1	1	1	1	0	0	0	0	500	500	1000	20	0.7	1	0	0	0	0	0	0	0	0	0	0	0.2	-0.2	-0.2	1000	1	1000	1000	1	0	1	1	1	0	0.25	0	0	0	0	0	0	0	500	0	500	0.0625	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.25	0	0.125	1	1	0	0.0625	3	0	0	0	0	0	0	0	0	0	0	0	0
0.0625		0.0003125	0	0.0003125	0.0003125	0.3125	0	0.3125	0	0.000950907	0.000950907	0.000951812	0	4.99844	0	4.99844	0	0.00148533	0	0.00148674	0	4.99992	0	4.99992	0					0.0003125	0.0003125	1	1	0.3125	0	0	0	0	0	250	0.996204	0.996204	0.998098	0.998098	0.311314	0	0.311906	0	468.75	468.75					0	0.000297158	0	0	0	0	0	0				-0.2	-0.2			999.688	999.688			1	1			0.25	0.3125	0	0	0	0	0	0	468.75	0	468.75	0.0625		0	0.000950907	0.000950907	0	0	0	0.000951812	0					0	-0.000297158	0.000297158	0	0	0	0	0	0	0.000297158	0	0	0	0	0	0	-0.000297158	0.000297158	0	0										0.00571631	0.00571631	0.00571631	0.00571631	0.00571631	0	0.00571631	0	0.00571631	0.00571631	0.00571631	0
0.125		0.00060552	1.85724e-008	0.000605501	0.000605501	0.605519	1.85724e-005	0.605501	0	0.00150917	0.00150917	0.00151148	1.04742e-006	4.99697	4.99697	4.99697	4.99697	0.00456638	1.40059e-007	0.00457324	0	5.00154	4.99697	5.00155	4.99697					0.000605538	0.000605501	1	1	0.624995	1.85724e-005	0.0312502	0	0	0	250	0.993608	0.993981	0.99698	0.99698	0.601649	1.84606e-005	0.603672	0	439.473	439.453					0	0.000913658	2.80289e-008	0	0	6.34213e-007	0	0				-0.19998	-0.2			999.394	999.394			1	1			0.25	0.605519	1.85724e-005	0	0	0	0	0.0195313	439.473	0	439.453	0.0625		0	0.00150888	0.00150917	0	0	1.04742e-006	0.00151148	0					0	-0.000913658	0.000913658	0	0	0	0	0	0	0.000913658	0	0	0	0	0	0	-0.000913658	0.000913658	0	0										0.0102177	0.00908242	0.00908242	0.00908242	0.00908261	6.29403e-006	0.00908261	6.29403e-006	0.00908242	0.00908242	0.00908261	6.29403e-006
0.1875		0.000880455	0.000312385	0.00119268	0.00119268	0.880455	0.312385	0.880368	0.312311	0.00250964	0.00242097	0.00203324	0.000949633	4.99404	4.99404	4.99404	4.99404	0.0110349	0.00377687	0.00893933	0.00148113	5.00507	4.99781	5.00298	4.99552					0.00119284	0.00119268	1	1	0.937591	0.312386	0.0611953	3.71583e-006	0	0	250	0.988978	0.990187	0.994052	0.994052	0.870751	0.30932	0.875132	0.310453	412.043	411.987					0	0.00213025	0.000783974	0	0	0.000836027	0.000635003	0				-0.199944	-0.2			998.807	998.807			1.03662	1			0.25	0.880455	0.312385	0	0	0	0	0.0573762	412.043	1.16078e-006	411.987	0.0625		0	0.00241949	0.00250964	0	0	0.000949633	0.00203324	0					0	-0.00134628	0.00134628	0	0	-0.000201024	0.000201024	0	0	0.00213025	0.000783974	0	0	0.000836027	0.000635003	0	-0.00134628	0.00134628	-0.000201024	0.000201024										0.0188366	0.0145978	0.0151324	0.014598	0.0122359	0.00571484	0.0122359	0.00571484	0.0151324	0.0145978	0.0122359	0.00571484
0.25		0.00113877	0.0006055	0.00174349	0.00174349	1.13877	0.6055	1.13835	0.60514	0.00349819	0.00315269	0.00260294	0.00150757	4.99128	4.99128	4.99128	4.99128	0.0198834	0.00952812	0.0147894	0.0045535	5.01116	5.00081	5.00607	4.99584					0.00174427	0.00174349	1	1	1.25041	0.624834	0.0898944	0.0312487	0	0	250	0.984326	0.986014	0.991813	0.991813	1.12092	0.597032	1.12903	0.600185	386.346	386.258					0	0.00358566	0.00211732	0	0	0.00171614	0.00157514	0				-0.199892	-0.19998			998.256	998.257			1.10963	1.00004			0.25	1.13877	0.6055	0	0	0	0	0.112405	386.346	0.0195252	386.258	0.0625		0	0.00314873	0.00349682	0	0	0.00150757	0.00260294	0					0	-0.00146834	0.00146834	0	0	-0.000140991	0.000140991	0	0	0.00358566	0.00211732	0	0	0.00171614	0.00157514	0	-0.00146834	0.00146834	-0.000140991	0.000140991										0.0287275	0.0190428	0.0211297	0.021423	0.0156821	0.00908275	0.0156821	0.00908275	0.0211297	0.0190428	0.0156821	0.00908275
0.3125		0.00138181	0.000880828	0.00226053	0.00226053	1.38181	0.880828	1.38065	0.879877	0.00460152	0.00389568	0.00327093	0.00202051	4.98869	4.98869	4.9887	4.9887	0.0317203	0.0171183	0.022529	0.00886892	5.02041	5.00581	5.01123	4.99757					0.00226264	0.00226053	1	1	1.56361	0.937476	0.117407	0.0611952	0	0	250	0.978953	0.981293	0.989473	0.989473	1.35273	0.86435	1.36612	0.870614	362.27	362.154					0	0.0053715	0.00404928	0	0	0.00278963	0.00287801	0				-0.199828	-0.199944			997.737	997.739			1.21924	1.03222			0.25	1.38181	0.880828	0	0	0	0	0.183578	362.27	0.057369	362.154	0.0625		0	0.00388728	0.00459713	0	0	0.00202051	0.00327093	0					0	-0.00132222	0.00132222	0	0	8.83845e-005	-8.83845e-005	0	0	0.0053715	0.00404928	0	0	0.00278963	0.00287801	0	-0.00132222	0.00132222	8.83845e-005	-8.83845e-005										0.0409228	0.0235744	0.0278457	0.0293449	0.0197299	0.0121876	0.0197299	0.0121876	0.0278457	0.0235744	0.0197299	0.0121876
0.375		0.00161096	0.00113975	0.00274628	0.00274628	1.61096	1.13975	1.60848	1.13781	0.00588722	0.00473171	0.00406905	0.00256689	4.98625	4.98625	4.98627	4.98627	0.04729	0.0268907	0.032635	0.014563	5.03354	5.01314	5.0189	5.00083					0.00275071	0.00274628	1	1	1.87738	1.25042	0.143786	0.0899063	0	0	250	0.972469	0.9757	0.986816	0.986816	1.56661	1.11206	1.58727	1.1228	339.715	339.575					0	0.00759687	0.00669857	0	0	0.00412879	0.00462979	0				-0.199752	-0.199892			997.249	997.254			1.36413	1.09638			0.25	1.61096	1.13975	0	0	0	0	0.269941	339.715	0.112421	339.575	0.0625		0	0.00471574	0.00587722	0	0	0.00256689	0.00406905	0					0	-0.0008983	0.0008983	0	0	0.000501001	-0.000501001	0	0	0.00759687	0.00669857	0	0	0.00412879	0.00462979	0	-0.0008983	0.0008983	0.000501001	-0.000501001										0.0562365	0.0286949	0.0357025	0.0390144	0.0245774	0.0155043	0.0245774	0.0155043	0.0357025	0.0286949	0.0245774	0.0155043
0.4375		0.00182759	0.00138363	0.00320314	0.00320314	1.82759	1.38363	1.82299	1.38015	0.0073935	0.00571852	0.00501665	0.00319334	4.98394	4.98394	4.98398	4.98398	0.0673444	0.0394344	0.04558	0.0219659	5.05129	5.02338	5.02956	5.00595					0.00321121	0.00320314	1	1	2.19198	1.5638	0.169083	0.117442	0	0	250	0.964593	0.968977	0.983714	0.983714	1.76288	1.3407	1.7933	1.35767	318.583	318.423					0	0.0103991	0.0102024	0	0	0.00582142	0.00692374	0				-0.199667	-0.199828			996.789	996.797			1.54209	1.19273			0.25	1.82759	1.38363	0	0	0	0	0.370626	318.583	0.183655	318.423	0.0625		0	0.00569007	0.00737369	0	0	0.00319334	0.00501665	0					0	-0.000196678	0.000196678	0	0	0.00110232	-0.00110232	0	0	0.0103991	0.0102024	0	0	0.00582142	0.00692374	0	-0.000196678	0.000196678	0.00110232	-0.00110232										0.0753518	0.034767	0.0449504	0.0510994	0.0303491	0.0193187	0.0303491	0.0193187	0.0449504	0.034767	0.0303491	0.0193187
0.5		0.0020331	0.0016138	0.00363342	0.00363342	2.0331	1.6138	2.02532	1.6081	0.00913944	0.00689264	0.00612408	0.00392908	4.98177	4.98177	4.98183	4.98183	0.0925683	0.055414	0.0617909	0.031477	5.07433	5.03718	5.04362	5.01331					0.00364691	0.00363342	1	1	2.50768	1.87777	0.193346	0.143858	0	0	250	0.955152	0.960939	0.980094	0.980094	1.94192	1.55077	1.985	1.57609	298.786	298.608					0	0.0139151	0.014691	0	0	0.00795766	0.00984814	0				-0.199574	-0.199752			996.353	996.367			1.75044	1.32012			0.25	2.0331	1.6138	0	0	0	0	0.48485	298.786	0.270132	298.608	0.0625		0	0.00684426	0.00910334	0	0	0.00392908	0.00612408	0					0	0.000775929	-0.000775929	0	0	0.00189048	-0.00189048	0	0	0.0139151	0.014691	0	0	0.00795766	0.00984814	0	0.000775929	-0.000775929	0.00189048	-0.00189048										0.0988309	0.0420297	0.0557301	0.0662148	0.0371176	0.0238139	0.0371176	0.0238139	0.0557301	0.0420297	0.0371176	0.0238139
0.5625		0.00222893	0.00183166	0.00403941	0.00403941	2.22893	1.83166	2.2166	1.82281	0.0111307	0.0082747	0.00739523	0.00479188	4.9797	4.9797	4.9798	4.9798	0.123544	0.0754743	0.0816303	0.0434969	5.10324	5.05517	5.06143	5.0233					0.00406058	0.00403941	1	1	2.82488	2.1926	0.216618	0.169203	0	0	250	0.944065	0.951474	0.975919	0.975919	2.10425	1.74277	2.16323	1.77891	280.239	280.046					0	0.0182675	0.0202741	0	0	0.0106217	0.0134801	0				-0.199473	-0.199667			995.939	995.961			1.98628	1.47663			0.25	2.22893	1.83166	0	0	0	0	0.611919	280.239	0.370995	280.046	0.0625		0	0.00819566	0.0110687	0	0	0.00479188	0.00739523	0					0	0.00200654	-0.00200654	0	0	0.00285838	-0.00285838	0	0	0.0182675	0.0202741	0	0	0.0106217	0.0134801	0	0.00200654	-0.00200654	0.00285838	-0.00285838										0.127117	0.0506307	0.0681057	0.0848983	0.0449188	0.029106	0.0449188	0.029106	0.0681057	0.0506307	0.0449188	0.029106
